simtype,modelm,name_levels,tree_levels,model_name,n
control,m2,HA,Opisthokonta,rtREV+F+G4,2
control,m2,HA,Aves,Dayhoff+F+I+G4,2
control,m2,HA,Yeast,Dayhoff+F+G4,2
control,m2,HA,Spiralia,Dayhoff+F+G4,2
control,m2,HIV,Opisthokonta,rtREV+I+G4,2
control,m2,LAC,Lassa Virus,DCMut+F+I+G4,2
control,m2,LAC,Lassa Virus,WAG+I,2
control,m2,LAC,Ray-finned fish,rtREV+F+I+G4,2
control,m2,LAC,Yeast,Dayhoff+F+G4,2
control,m2,LAC,Yeast,rtREV+F+I+G4,2
control,m2,NP,Opisthokonta,Dayhoff+F+G4,2
control,m2,NP,Aves,Dayhoff+F+I+G4,2
control,m2,NP,Spiralia,rtREV+I+G4,2
control,m2,HA,Lassa Virus,DCMut+F+G4,3
control,m2,HA,Yeast,Dayhoff+F+I+G4,3
control,m2,HA,Yeast,DCMut+F+G4,3
control,m2,HIV,Aves,DCMut+F+I+G4,3
control,m2,HIV,Ray-finned fish,Dayhoff+F+G4,3
control,m2,LAC,Lassa Virus,DCMut+F+G4,3
control,m2,LAC,Aves,Dayhoff+F+G4,3
control,m2,LAC,Aves,Dayhoff+F+I+G4,3
control,m2,LAC,Aves,rtREV+F+I+G4,3
control,m2,LAC,Spiralia,Dayhoff+F+G4,3
control,m2,NP,Lassa Virus,rtREV+F+I+G4,3
control,m2,NP,Spiralia,Dayhoff+F+G4,3
control,m2,HA,Lassa Virus,Dayhoff+F+G4,4
control,m2,HA,Lassa Virus,Dayhoff+F+I+G4,4
control,m2,HA,Aves,DCMut+F+G4,4
control,m2,HA,Aves,DCMut+F+I+G4,4
control,m2,HA,Yeast,rtREV+G4,4
control,m2,HIV,Green Plant,Dayhoff+F+G4,4
control,m2,HIV,Spiralia,Dayhoff+F+G4,4
control,m2,LAC,Lassa Virus,rtREV+F+I+G4,4
control,m2,LAC,Opisthokonta,Dayhoff+F+G4,4
control,m2,LAC,Ray-finned fish,Dayhoff+F+G4,4
control,m2,NP,Ray-finned fish,Dayhoff+F+G4,4
control,m2,NP,Aves,DCMut+F+G4,5
control,m2,HA,Lassa Virus,DCMut+F+I+G4,6
control,m2,HA,Ray-finned fish,Dayhoff+F+G4,6
control,m2,HIV,Aves,Dayhoff+F+G4,6
control,m2,LAC,Green Plant,Dayhoff+F+G4,6
control,m2,NP,Lassa Virus,DCMut+F+G4,6
control,m2,NP,Aves,Dayhoff+F+G4,6
control,m2,NP,Yeast,DCMut+F+G4,6
control,m2,HA,Yeast,DCMut+F+I+G4,7
control,m2,HIV,Mammals,DCMut+F+G4,7
control,m2,LAC,Lassa Virus,Dayhoff+F+I+G4,7
control,m2,LAC,Aves,DCMut+F+I+G4,7
control,m2,NP,Aves,DCMut+F+I+G4,7
control,m2,HA,Green Plant,Dayhoff+F+G4,8
control,m2,HIV,Lassa Virus,Dayhoff+F+G4,8
control,m2,LAC,Mammals,DCMut+F+G4,8
control,m2,HA,Mammals,DCMut+F+G4,9
control,m2,HA,Aves,Dayhoff+F+G4,9
control,m2,HIV,Aves,DCMut+F+G4,9
control,m2,HIV,Yeast,DCMut+F+G4,9
control,m2,HIV,Yeast,rtREV+I+G4,9
control,m2,NP,Lassa Virus,Dayhoff+F+G4,9
control,m2,NP,Green Plant,Dayhoff+F+G4,9
control,m2,NP,Yeast,DCMut+F+I+G4,9
control,m2,HA,Mammals,Dayhoff+F+G4,10
control,m2,NP,Mammals,Dayhoff+F+G4,10
control,m2,NP,Mammals,DCMut+F+G4,10
control,m2,HIV,Lassa Virus,DCMut+F+G4,11
control,m2,LAC,Mammals,Dayhoff+F+G4,11
control,m2,LAC,Green Plant,DCMut+F+G4,11
control,m2,LAC,Yeast,DCMut+F+G4,11
control,m2,NP,Green Plant,DCMut+F+G4,11
control,m2,HA,Green Plant,DCMut+F+G4,12
control,m2,HIV,Mammals,Dayhoff+F+G4,12
control,m2,HA,Opisthokonta,DCMut+F+G4,13
control,m2,HA,Ray-finned fish,DCMut+F+G4,14
control,m2,HIV,Green Plant,DCMut+F+G4,14
control,m2,LAC,Ray-finned fish,DCMut+F+G4,14
control,m2,NP,Spiralia,DCMut+F+G4,14
control,m2,HIV,Opisthokonta,DCMut+F+G4,15
control,m2,HIV,Spiralia,DCMut+F+G4,15
control,m2,LAC,Opisthokonta,DCMut+F+G4,15
control,m2,LAC,Spiralia,DCMut+F+G4,15
control,m2,NP,Ray-finned fish,DCMut+F+G4,15
control,m2,HA,Spiralia,DCMut+F+G4,17
control,m2,HIV,Ray-finned fish,DCMut+F+G4,17
control,m2,NP,Opisthokonta,DCMut+F+G4,17
control,m3,HA,Lassa Virus,Dayhoff+I,1
control,m3,HA,Lassa Virus,HIVb+F+G4,1
control,m3,HA,Lassa Virus,HIVb+G4,1
control,m3,HA,Lassa Virus,HIVb+I+G4,1
control,m3,HA,Lassa Virus,mtZOA+I+G4,1
control,m3,HA,Lassa Virus,PMB,1
control,m3,HA,Mammals,JTTDCMut+F+I,1
control,m3,HA,Mammals,mtMet+G4,1
control,m3,HA,Mammals,mtREV+G4,1
control,m3,HA,Mammals,WAG,1
control,m3,HA,Opisthokonta,Blosum62+I,1
control,m3,HA,Opisthokonta,HIVw+F+G4,1
control,m3,HA,Opisthokonta,HIVw+I+G4,1
control,m3,HA,Opisthokonta,JTTDCMut+I,1
control,m3,HA,Aves,HIVb+F+G4,1
control,m3,HA,Aves,HIVb+I+G4,1
control,m3,HA,Aves,JTTDCMut,1
control,m3,HA,Aves,LG,1
control,m3,HA,Aves,LG+F,1
control,m3,HA,Aves,mtInv+F+I,1
control,m3,HA,Aves,mtVer+F+G4,1
control,m3,HA,Aves,mtVer+F+I+G4,1
control,m3,HA,Aves,WAG+F,1
control,m3,HA,Ray-finned fish,HIVw+F+I+G4,1
control,m3,HA,Ray-finned fish,JTTDCMut+F+I,1
control,m3,HA,Ray-finned fish,LG+F+I,1
control,m3,HA,Ray-finned fish,WAG+F,1
control,m3,HA,Green Plant,JTTDCMut+F+I,1
control,m3,HA,Green Plant,JTTDCMut+I,1
control,m3,HA,Yeast,cpREV+F+I,1
control,m3,HA,Yeast,HIVw+F+G4,1
control,m3,HA,Yeast,HIVw+F+I+G4,1
control,m3,HA,Yeast,JTT+F+I,1
control,m3,HA,Yeast,mtMAM+F+G4,1
control,m3,HA,Yeast,mtMAM+F+I+G4,1
control,m3,HA,Yeast,mtREV+I+G4,1
control,m3,HA,Yeast,mtZOA+G4,1
control,m3,HA,Spiralia,Blosum62+I,1
control,m3,HA,Spiralia,JTTDCMut+I,1
control,m3,HA,Spiralia,LG+F+I,1
control,m3,HIV,Lassa Virus,PMB+F,1
control,m3,HIV,Lassa Virus,VT,1
control,m3,HIV,Lassa Virus,VT+F,1
control,m3,HIV,Mammals,Dayhoff+F+I,1
control,m3,HIV,Mammals,mtInv+I+G4,1
control,m3,HIV,Mammals,mtMet+I+G4,1
control,m3,HIV,Mammals,mtREV+G4,1
control,m3,HIV,Mammals,rtREV+I,1
control,m3,HIV,Mammals,VT,1
control,m3,HIV,Mammals,VT+F,1
control,m3,HIV,Opisthokonta,HIVw+F+G4,1
control,m3,HIV,Opisthokonta,JTTDCMut+F+I,1
control,m3,HIV,Opisthokonta,PMB+F+I,1
control,m3,HIV,Aves,Blosum62,1
control,m3,HIV,Aves,HIVb+F+I+G4,1
control,m3,HIV,Aves,HIVb+I+G4,1
control,m3,HIV,Aves,JTTDCMut,1
control,m3,HIV,Aves,mtInv+F+I,1
control,m3,HIV,Ray-finned fish,cpREV+F+I,1
control,m3,HIV,Ray-finned fish,JTT+F+I,1
control,m3,HIV,Ray-finned fish,mtMet+G4,1
control,m3,HIV,Ray-finned fish,mtREV+G4,1
control,m3,HIV,Green Plant,mtART+F+G4,1
control,m3,HIV,Green Plant,mtInv+G4,1
control,m3,HIV,Yeast,cpREV+I,1
control,m3,HIV,Yeast,mtMAM+F+I+G4,1
control,m3,HIV,Yeast,mtZOA+G4,1
control,m3,HIV,Spiralia,HIVw+F+G4,1
control,m3,HIV,Spiralia,JTT+I,1
control,m3,HIV,Spiralia,mtInv+G4,1
control,m3,HIV,Spiralia,PMB+F+I,1
control,m3,LAC,Lassa Virus,Dayhoff+F+I,1
control,m3,LAC,Lassa Virus,HIVb+F+I+G4,1
control,m3,LAC,Lassa Virus,HIVb+G4,1
control,m3,LAC,Lassa Virus,HIVb+I+G4,1
control,m3,LAC,Lassa Virus,JTT,1
control,m3,LAC,Lassa Virus,mtVer+F+G4,1
control,m3,LAC,Lassa Virus,PMB,1
control,m3,LAC,Mammals,cpREV+F+I,1
control,m3,LAC,Mammals,Dayhoff+F+I,1
control,m3,LAC,Mammals,HIVb+G4,1
control,m3,LAC,Mammals,JTTDCMut+F+I,1
control,m3,LAC,Mammals,mtInv+G4,1
control,m3,LAC,Mammals,mtInv+I+G4,1
control,m3,LAC,Mammals,mtREV+G4,1
control,m3,LAC,Mammals,mtREV+I+G4,1
control,m3,LAC,Mammals,PMB+F+I,1
control,m3,LAC,Opisthokonta,DCMut+I,1
control,m3,LAC,Opisthokonta,JTTDCMut+I,1
control,m3,LAC,Opisthokonta,mtInv+I+G4,1
control,m3,LAC,Opisthokonta,mtMAM+F+G4,1
control,m3,LAC,Opisthokonta,mtREV+G4,1
control,m3,LAC,Opisthokonta,rtREV+F+I,1
control,m3,LAC,Aves,HIVb+G4,1
control,m3,LAC,Aves,HIVb+I+G4,1
control,m3,LAC,Aves,JTTDCMut,1
control,m3,LAC,Aves,LG,1
control,m3,LAC,Aves,mtInv+G4,1
control,m3,LAC,Aves,PMB,1
control,m3,LAC,Ray-finned fish,mtART+F+G4,1
control,m3,LAC,Ray-finned fish,VT,1
control,m3,LAC,Green Plant,JTT+I,1
control,m3,LAC,Yeast,HIVw+F+I+G4,1
control,m3,LAC,Yeast,LG+F+I,1
control,m3,LAC,Yeast,mtART+F+G4,1
control,m3,LAC,Yeast,mtART+F+I+G4,1
control,m3,LAC,Yeast,mtMAM+F+G4,1
control,m3,LAC,Yeast,rtREV+F+I,1
control,m3,LAC,Yeast,rtREV+I,1
control,m3,LAC,Spiralia,Blosum62+I,1
control,m3,LAC,Spiralia,LG+I,1
control,m3,LAC,Spiralia,mtMAM+F+I+G4,1
control,m3,LAC,Spiralia,mtVer+G4,1
control,m3,LAC,Spiralia,PMB+F+I,1
control,m3,LAC,Spiralia,PMB+I,1
control,m3,NP,Lassa Virus,DCMut+I,1
control,m3,NP,Lassa Virus,HIVb+F+I+G4,1
control,m3,NP,Mammals,cpREV+F+I,1
control,m3,NP,Mammals,JTTDCMut+F+I,1
control,m3,NP,Mammals,mtMet+I+G4,1
control,m3,NP,Mammals,mtREV+G4,1
control,m3,NP,Mammals,mtREV+I+G4,1
control,m3,NP,Mammals,WAG,1
control,m3,NP,Mammals,WAG+F,1
control,m3,NP,Opisthokonta,Blosum62+I,1
control,m3,NP,Opisthokonta,PMB+F+I,1
control,m3,NP,Aves,Blosum62,1
control,m3,NP,Aves,Dayhoff+F+I,1
control,m3,NP,Aves,PMB,1
control,m3,NP,Aves,PMB+F,1
control,m3,NP,Aves,VT+F,1
control,m3,NP,Ray-finned fish,JTTDCMut+I,1
control,m3,NP,Ray-finned fish,LG+F+I,1
control,m3,NP,Ray-finned fish,VT,1
control,m3,NP,Ray-finned fish,WAG+F,1
control,m3,NP,Green Plant,cpREV+F+I,1
control,m3,NP,Green Plant,cpREV+I,1
control,m3,NP,Green Plant,HIVw+F+I+G4,1
control,m3,NP,Green Plant,PMB+F+I,1
control,m3,NP,Yeast,HIVw+F+I+G4,1
control,m3,NP,Yeast,JTT+F+I,1
control,m3,NP,Spiralia,Blosum62+I,1
control,m3,NP,Spiralia,HIVw+I+G4,1
control,m3,NP,Spiralia,JTT+I,1
control,m3,NP,Spiralia,LG+F+I,1
control,m3,NP,Spiralia,mtVer+I+G4,1
control,m3,NP,Spiralia,PMB+F+I,1
control,m3,HA,Lassa Virus,rtREV+F+I,2
control,m3,HA,Mammals,JTT+F+I,2
control,m3,HA,Mammals,mtART+F+G4,2
control,m3,HA,Mammals,mtREV+I+G4,2
control,m3,HA,Mammals,VT,2
control,m3,HA,Opisthokonta,mtInv+G4,2
control,m3,HA,Opisthokonta,mtVer+I+G4,2
control,m3,HA,Aves,PMB,2
control,m3,HA,Ray-finned fish,mtMAM+F+I+G4,2
control,m3,HA,Yeast,cpREV+I,2
control,m3,HA,Yeast,Dayhoff+I,2
control,m3,HA,Yeast,mtZOA+I+G4,2
control,m3,HA,Yeast,rtREV+F+I,2
control,m3,HA,Yeast,rtREV+I,2
control,m3,HA,Yeast,WAG,2
control,m3,HA,Spiralia,Blosum62+F+I,2
control,m3,HIV,Lassa Virus,Dayhoff+F+I,2
control,m3,HIV,Lassa Virus,HIVb+F+G4,2
control,m3,HIV,Lassa Virus,HIVb+G4,2
control,m3,HIV,Mammals,Dayhoff+I,2
control,m3,HIV,Mammals,mtMet+G4,2
control,m3,HIV,Mammals,WAG,2
control,m3,HIV,Opisthokonta,mtInv+G4,2
control,m3,HIV,Aves,Dayhoff+F+I,2
control,m3,HIV,Aves,JTT,2
control,m3,HIV,Aves,mtVer+F+G4,2
control,m3,HIV,Aves,VT+F,2
control,m3,HIV,Ray-finned fish,JTTDCMut+F+I,2
control,m3,HIV,Ray-finned fish,LG+F+I,2
control,m3,HIV,Ray-finned fish,WAG,2
control,m3,HIV,Green Plant,cpREV+F+I,2
control,m3,HIV,Green Plant,cpREV+I,2
control,m3,HIV,Green Plant,JTT+I,2
control,m3,HIV,Green Plant,JTTDCMut+F+I,2
control,m3,HIV,Green Plant,mtMet+G4,2
control,m3,HIV,Green Plant,WAG,2
control,m3,HIV,Yeast,cpREV+F+I,2
control,m3,HIV,Yeast,JTT+F+I,2
control,m3,HIV,Yeast,rtREV+F+I,2
control,m3,HIV,Spiralia,Blosum62+F+I,2
control,m3,HIV,Spiralia,LG+F+I,2
control,m3,LAC,Lassa Virus,HIVb+F+G4,2
control,m3,LAC,Lassa Virus,LG,2
control,m3,LAC,Lassa Virus,mtZOA+G4,2
control,m3,LAC,Lassa Virus,VT,2
control,m3,LAC,Lassa Virus,WAG+F,2
control,m3,LAC,Mammals,Blosum62+F+I,2
control,m3,LAC,Mammals,JTT+F+I,2
control,m3,LAC,Mammals,mtMet+I+G4,2
control,m3,LAC,Mammals,WAG,2
control,m3,LAC,Opisthokonta,HIVw+F+G4,2
control,m3,LAC,Opisthokonta,JTT+I,2
control,m3,LAC,Opisthokonta,LG+I,2
control,m3,LAC,Opisthokonta,mtInv+G4,2
control,m3,LAC,Aves,Blosum62,2
control,m3,LAC,Aves,Dayhoff+F+I,2
control,m3,LAC,Aves,mtZOA+G4,2
control,m3,LAC,Aves,VT+F,2
control,m3,LAC,Ray-finned fish,JTT+F+I,2
control,m3,LAC,Ray-finned fish,LG+F+I,2
control,m3,LAC,Green Plant,cpREV+F+I,2
control,m3,LAC,Green Plant,JTT+F+I,2
control,m3,LAC,Green Plant,JTTDCMut+F+I,2
control,m3,LAC,Green Plant,mtART+F+G4,2
control,m3,LAC,Green Plant,WAG,2
control,m3,LAC,Yeast,cpREV+F+I,2
control,m3,LAC,Yeast,JTT+F+I,2
control,m3,LAC,Yeast,mtMAM+F+I+G4,2
control,m3,LAC,Spiralia,Blosum62+F+I,2
control,m3,LAC,Spiralia,HIVw+F+G4,2
control,m3,NP,Lassa Virus,Dayhoff+I,2
control,m3,NP,Lassa Virus,DCMut+F+I,2
control,m3,NP,Lassa Virus,HIVb+F+G4,2
control,m3,NP,Mammals,mtMet+G4,2
control,m3,NP,Mammals,VT,2
control,m3,NP,Opisthokonta,HIVw+F+G4,2
control,m3,NP,Aves,HIVb+G4,2
control,m3,NP,Aves,JTT,2
control,m3,NP,Aves,mtMet+I+G4,2
control,m3,NP,Aves,mtVer+F+G4,2
control,m3,NP,Aves,mtZOA+G4,2
control,m3,NP,Aves,mtZOA+I+G4,2
control,m3,NP,Ray-finned fish,JTTDCMut+F+I,2
control,m3,NP,Green Plant,JTTDCMut+I,2
control,m3,NP,Yeast,cpREV+I,2
control,m3,NP,Yeast,mtMAM+F+I+G4,2
control,m3,NP,Yeast,mtZOA+G4,2
control,m3,NP,Yeast,rtREV+I,2
control,m3,NP,Spiralia,mtVer+G4,2
control,m3,HA,Lassa Virus,DCMut+F+I,3
control,m3,HA,Lassa Virus,WAG+F,3
control,m3,HA,Mammals,cpREV+F+I,3
control,m3,HA,Opisthokonta,PMB+F+I,3
control,m3,HA,Aves,Dayhoff+F+I,3
control,m3,HA,Aves,HIVb+G4,3
control,m3,HA,Aves,VT+F,3
control,m3,HA,Green Plant,WAG,3
control,m3,HIV,Lassa Virus,HIVb+F+I+G4,3
control,m3,HIV,Lassa Virus,HIVb+I+G4,3
control,m3,HIV,Mammals,mtInv+G4,3
control,m3,HIV,Opisthokonta,JTT+I,3
control,m3,HIV,Opisthokonta,LG+F+I,3
control,m3,HIV,Aves,PMB,3
control,m3,HIV,Ray-finned fish,mtART+F+G4,3
control,m3,HIV,Green Plant,JTT+F+I,3
control,m3,HIV,Green Plant,mtREV+G4,3
control,m3,HIV,Yeast,DCMut+I,3
control,m3,HIV,Yeast,rtREV+I,3
control,m3,HIV,Spiralia,JTTDCMut+I,3
control,m3,LAC,Lassa Virus,mtZOA+I+G4,3
control,m3,LAC,Mammals,Dayhoff+I,3
control,m3,LAC,Opisthokonta,LG+F+I,3
control,m3,LAC,Opisthokonta,PMB+F+I,3
control,m3,LAC,Ray-finned fish,cpREV+I,3
control,m3,LAC,Ray-finned fish,mtART+F+I+G4,3
control,m3,LAC,Ray-finned fish,WAG,3
control,m3,LAC,Green Plant,Blosum62+F+I,3
control,m3,LAC,Green Plant,cpREV+I,3
control,m3,LAC,Green Plant,LG+F+I,3
control,m3,LAC,Yeast,mtZOA+G4,3
control,m3,LAC,Spiralia,JTT+I,3
control,m3,LAC,Spiralia,JTTDCMut+I,3
control,m3,NP,Lassa Virus,Dayhoff+F+I,3
control,m3,NP,Mammals,cpREV+I,3
control,m3,NP,Aves,LG,3
control,m3,NP,Yeast,Dayhoff+I,3
control,m3,NP,Yeast,rtREV+F+I,3
control,m3,NP,Spiralia,LG+I,3
control,m3,HA,Opisthokonta,Blosum62+F+I,4
control,m3,HA,Spiralia,PMB+F+I,4
control,m3,HIV,Mammals,WAG+F,4
control,m3,HIV,Opisthokonta,JTTDCMut+I,4
control,m3,HIV,Aves,LG,4
control,m3,LAC,Yeast,Dayhoff+I,4
control,m3,LAC,Spiralia,mtMAM+F+G4,4
control,m3,NP,Opisthokonta,JTTDCMut+I,4
control,m3,NP,Green Plant,LG+F+I,4
control,m3,NP,Yeast,cpREV+F+I,4
control,m3,NP,Spiralia,JTTDCMut+I,4
control,m3,HA,Mammals,cpREV+I,5
control,m3,HA,Opisthokonta,LG+I,5
control,m3,HA,Green Plant,LG+F+I,5
control,m3,HA,Spiralia,mtVer+I+G4,5
control,m3,HIV,Lassa Virus,WAG+F,5
control,m3,HIV,Opisthokonta,LG+I,5
control,m3,HIV,Yeast,Dayhoff+I,5
control,m3,LAC,Ray-finned fish,JTTDCMut+F+I,5
control,m3,NP,Green Plant,JTT+I,5
control,m3,NP,Green Plant,WAG,5
control,m3,NP,Spiralia,Blosum62+F+I,5
control,m3,HA,Lassa Virus,VT,6
control,m3,HA,Ray-finned fish,WAG,6
control,m3,HA,Spiralia,LG+I,6
control,m3,LAC,Aves,WAG+F,6
control,m3,NP,Mammals,JTT+F+I,6
control,m3,NP,Opisthokonta,Blosum62+F+I,6
control,m3,NP,Opisthokonta,LG+I,6
control,m3,NP,Ray-finned fish,WAG,6
control,m3,HIV,Ray-finned fish,JTT+I,7
control,m3,HA,Ray-finned fish,JTT+I,8
control,m3,NP,Ray-finned fish,JTT+I,8
control,m3,HIV,Spiralia,LG+I,9
control,m3,NP,Lassa Virus,WAG+F,9
control,m3,HA,Green Plant,JTT+I,10
control,m4,HA,Lassa Virus,DCMut+F,1
control,m4,HA,Lassa Virus,HIVw+F+G4,1
control,m4,HA,Lassa Virus,HIVw+I+G4,1
control,m4,HA,Lassa Virus,rtREV+F,1
control,m4,HA,Mammals,mtART+G4,1
control,m4,HA,Mammals,mtMet+F+I,1
control,m4,HA,Opisthokonta,cpREV,1
control,m4,HA,Opisthokonta,Dayhoff,1
control,m4,HA,Opisthokonta,Dayhoff+F,1
control,m4,HA,Opisthokonta,DCMut+F,1
control,m4,HA,Opisthokonta,FLU+F+I,1
control,m4,HA,Opisthokonta,mtMAM+I+G4,1
control,m4,HA,Opisthokonta,mtMet+F+I,1
control,m4,HA,Aves,mtART+I+G4,1
control,m4,HA,Aves,mtMAM+F+G4,1
control,m4,HA,Ray-finned fish,rtREV+F,1
control,m4,HA,Green Plant,Dayhoff,1
control,m4,HA,Green Plant,mtART+G4,1
control,m4,HA,Green Plant,mtREV+F+I,1
control,m4,HA,Yeast,cpREV,1
control,m4,HA,Yeast,cpREV+F,1
control,m4,HA,Yeast,Dayhoff,1
control,m4,HA,Yeast,Dayhoff+F,1
control,m4,HA,Yeast,DCMut,1
control,m4,HA,Yeast,JTT+F,1
control,m4,HA,Yeast,JTTDCMut+F,1
control,m4,HA,Yeast,mtART+G4,1
control,m4,HA,Spiralia,cpREV+F,1
control,m4,HA,Spiralia,DCMut+F,1
control,m4,HA,Spiralia,mtMAM+G4,1
control,m4,HA,Spiralia,rtREV,1
control,m4,HA,Spiralia,rtREV+F,1
control,m4,HIV,Lassa Virus,mtMAM+F+I+G4,1
control,m4,HIV,Mammals,Dayhoff+F,1
control,m4,HIV,Mammals,DCMut+F,1
control,m4,HIV,Mammals,HIVw+F+G4,1
control,m4,HIV,Mammals,HIVw+F+I+G4,1
control,m4,HIV,Mammals,HIVw+I+G4,1
control,m4,HIV,Mammals,mtART+I+G4,1
control,m4,HIV,Mammals,mtMAM+F+I+G4,1
control,m4,HIV,Opisthokonta,DCMut+F,1
control,m4,HIV,Opisthokonta,FLU+I,1
control,m4,HIV,Opisthokonta,mtMAM+I+G4,1
control,m4,HIV,Opisthokonta,mtMet+F+I,1
control,m4,HIV,Aves,HIVb+F+I,1
control,m4,HIV,Ray-finned fish,Dayhoff+F,1
control,m4,HIV,Ray-finned fish,DCMut+F,1
control,m4,HIV,Ray-finned fish,mtInv+F,1
control,m4,HIV,Green Plant,DCMut+F,1
control,m4,HIV,Green Plant,mtMet+F+I,1
control,m4,HIV,Yeast,cpREV+F,1
control,m4,HIV,Yeast,DCMut+F,1
control,m4,HIV,Yeast,FLU+I,1
control,m4,HIV,Yeast,HIVb+F+I,1
control,m4,HIV,Yeast,HIVb+I,1
control,m4,HIV,Yeast,JTT+F,1
control,m4,HIV,Yeast,LG+F,1
control,m4,HIV,Yeast,mtART+G4,1
control,m4,HIV,Yeast,mtMet+F+I,1
control,m4,HIV,Yeast,mtVer+G4,1
