name,model,boot,in_true
PF01676,GTR20,99,TRUE
PF01676,GTR20,86,TRUE
PF01676,GTR20,77,TRUE
PF01676,GTR20,80,FALSE
PF01676,GTR20,94,FALSE
PF01676,GTR20,98,TRUE
PF01676,GTR20,84,TRUE
PF00756,m4,69,TRUE
PF00756,m4,98,TRUE
PF00756,m4,100,TRUE
PF00756,m4,58,TRUE
PF00756,m4,96,TRUE
PF00756,m4,73,TRUE
PF00756,m4,98,TRUE
PF00756,m4,100,TRUE
PF00756,m4,44,TRUE
PF00756,m4,61,TRUE
PF00756,m4,93,TRUE
PF00756,m4,87,TRUE
PF00756,m4,82,TRUE
PF00756,m4,87,TRUE
PF00756,m4,100,TRUE
PF00756,m4,75,FALSE
PF00756,m4,93,TRUE
PF00756,m4,99,TRUE
PF00756,m5,92,TRUE
PF00756,m5,96,TRUE
PF00756,m5,74,FALSE
PF00756,m5,96,TRUE
PF00756,m5,79,TRUE
PF00756,m5,96,TRUE
PF00756,m5,84,TRUE
PF00756,m5,98,TRUE
PF00756,m5,100,TRUE
PF00756,m5,65,TRUE
PF00756,m5,90,TRUE
PF00756,m5,67,TRUE
PF00756,m5,47,TRUE
PF00756,m5,40,FALSE
PF00756,m5,54,TRUE
PF00756,m5,100,TRUE
PF00756,m5,94,TRUE
PF00756,m5,99,TRUE
PF00756,m3,78,TRUE
PF00756,m3,96,TRUE
PF00756,m3,100,TRUE
PF00756,m3,79,TRUE
PF00756,m3,100,TRUE
PF00756,m3,76,TRUE
PF00756,m3,98,TRUE
PF00756,m3,100,TRUE
PF00756,m3,47,TRUE
PF00756,m3,54,TRUE
PF00756,m3,96,TRUE
PF00756,m3,67,TRUE
PF00756,m3,85,TRUE
PF00756,m3,75,TRUE
PF00756,m3,82,TRUE
PF00756,m3,100,TRUE
PF00756,m3,90,TRUE
PF00756,m3,99,TRUE
PF00756,m2,45,TRUE
PF00756,m2,82,TRUE
PF00756,m2,100,TRUE
PF00756,m2,87,TRUE
PF00756,m2,99,TRUE
PF00756,m2,83,TRUE
PF00756,m2,96,TRUE
PF00756,m2,100,TRUE
PF00756,m2,69,TRUE
PF00756,m2,49,TRUE
PF00756,m2,93,TRUE
PF00756,m2,86,TRUE
PF00756,m2,61,TRUE
PF00756,m2,49,TRUE
PF00756,m2,67,TRUE
PF00756,m2,100,TRUE
PF00756,m2,93,TRUE
PF00756,m2,100,TRUE
PF00756,m1,48,TRUE
PF00756,m1,67,TRUE
PF00756,m1,100,TRUE
PF00756,m1,93,TRUE
PF00756,m1,99,TRUE
PF00756,m1,89,TRUE
PF00756,m1,96,TRUE
PF00756,m1,100,TRUE
PF00756,m1,68,TRUE
PF00756,m1,47,TRUE
PF00756,m1,92,TRUE
PF00756,m1,76,TRUE
PF00756,m1,47,TRUE
PF00756,m1,42,TRUE
PF00756,m1,48,TRUE
PF00756,m1,100,TRUE
PF00756,m1,89,TRUE
PF00756,m1,100,TRUE
PF00756,GTR20,68,TRUE
PF00756,GTR20,87,TRUE
PF00756,GTR20,100,TRUE
PF00756,GTR20,88,TRUE
PF00756,GTR20,100,TRUE
PF00756,GTR20,65,TRUE
PF00756,GTR20,98,TRUE
PF00756,GTR20,100,TRUE
PF00756,GTR20,61,TRUE
PF00756,GTR20,46,TRUE
PF00756,GTR20,86,TRUE
PF00756,GTR20,92,TRUE
PF00756,GTR20,85,TRUE
PF00756,GTR20,58,TRUE
PF00756,GTR20,75,TRUE
PF00756,GTR20,100,TRUE
PF00756,GTR20,89,TRUE
PF00756,GTR20,100,TRUE
PF00756,poisson,92,FALSE
PF00756,poisson,99,TRUE
PF00756,poisson,41,TRUE
PF00756,poisson,36,FALSE
PF00756,poisson,50,TRUE
PF00756,poisson,100,TRUE
PF00756,poisson,57,FALSE
PF00756,poisson,100,TRUE
PF00756,poisson,98,TRUE
PF00756,poisson,97,TRUE
PF00756,poisson,73,TRUE
PF00756,poisson,94,TRUE
PF00756,poisson,100,TRUE
PF00756,poisson,41,TRUE
PF00756,poisson,44,TRUE
PF00756,poisson,91,TRUE
PF00756,poisson,98,TRUE
PF00756,poisson,98,TRUE
PF05188,poisson,100,TRUE
PF05188,poisson,84,TRUE
PF05188,poisson,76,TRUE
PF05188,poisson,84,TRUE
PF05188,poisson,97,TRUE
PF05188,poisson,37,FALSE
PF05188,poisson,86,TRUE
PF05188,poisson,87,TRUE
PF05188,poisson,78,TRUE
PF05188,poisson,80,TRUE
PF05188,poisson,62,FALSE
PF05188,poisson,95,TRUE
PF05188,poisson,96,FALSE
PF05188,poisson,60,FALSE
PF05188,poisson,46,FALSE
PF05188,poisson,100,TRUE
PF05188,poisson,47,FALSE
PF05188,poisson,84,TRUE
PF05188,poisson,48,TRUE
PF05188,poisson,15,FALSE
PF05188,poisson,89,TRUE
PF05188,poisson,99,TRUE
PF05188,poisson,99,TRUE
PF05188,poisson,84,TRUE
PF05188,poisson,29,FALSE
PF05188,poisson,50,FALSE
PF05188,poisson,100,TRUE
PF05188,poisson,51,FALSE
PF05188,poisson,100,TRUE
PF05188,poisson,88,FALSE
PF05188,poisson,98,TRUE
PF05188,poisson,90,TRUE
PF05188,poisson,81,FALSE
PF05188,poisson,35,FALSE
PF05188,poisson,72,FALSE
PF05188,poisson,61,FALSE
PF05188,poisson,52,FALSE
PF05188,poisson,49,FALSE
PF05188,poisson,100,TRUE
PF05188,poisson,50,FALSE
PF05188,m5,100,TRUE
PF05188,m5,98,TRUE
PF05188,m5,88,TRUE
PF05188,m5,100,TRUE
PF05188,m5,84,FALSE
PF05188,m5,87,TRUE
PF05188,m5,93,FALSE
PF05188,m5,100,TRUE
PF05188,m5,100,TRUE
PF05188,m5,82,TRUE
PF05188,m5,94,TRUE
PF05188,m5,61,TRUE
PF05188,m5,39,TRUE
PF05188,m5,100,TRUE
PF05188,m5,49,FALSE
PF05188,m5,49,FALSE
PF05188,m5,43,FALSE
PF05188,m5,60,FALSE
PF05188,m5,79,FALSE
PF05188,m5,70,FALSE
PF05188,m5,26,FALSE
PF05188,m5,100,TRUE
PF05188,m5,67,FALSE
PF05188,m5,97,TRUE
PF05188,m5,99,TRUE
PF05188,m5,69,FALSE
PF05188,m5,67,FALSE
PF05188,m5,31,FALSE
PF05188,m5,19,TRUE
PF05188,m5,96,TRUE
PF05188,m5,46,TRUE
PF05188,m5,65,TRUE
PF05188,m5,42,FALSE
PF05188,m5,82,TRUE
PF05188,m5,95,TRUE
PF05188,m5,99,TRUE
PF05188,m5,100,TRUE
PF05188,m5,45,FALSE
PF05188,m5,97,TRUE
PF05188,m5,93,TRUE
PF05188,m4,96,TRUE
PF05188,m4,73,TRUE
PF05188,m4,68,TRUE
PF05188,m4,99,TRUE
PF05188,m4,78,TRUE
PF05188,m4,89,TRUE
PF05188,m4,99,TRUE
PF05188,m4,100,TRUE
PF05188,m4,72,TRUE
PF05188,m4,99,TRUE
PF05188,m4,90,TRUE
PF05188,m4,100,TRUE
PF05188,m4,92,TRUE
PF05188,m4,81,TRUE
PF05188,m4,79,FALSE
PF05188,m4,56,TRUE
PF05188,m4,49,TRUE
PF05188,m4,59,FALSE
PF05188,m4,38,FALSE
PF05188,m4,53,FALSE
PF05188,m4,100,TRUE
PF05188,m4,73,FALSE
PF05188,m4,67,FALSE
PF05188,m4,97,TRUE
PF05188,m4,99,TRUE
PF05188,m4,81,FALSE
PF05188,m4,62,FALSE
PF05188,m4,51,FALSE
PF05188,m4,92,TRUE
PF05188,m4,38,FALSE
PF05188,m4,35,FALSE
PF05188,m4,52,TRUE
PF05188,m4,96,FALSE
PF05188,m4,97,TRUE
PF05188,m4,100,TRUE
PF05188,m4,98,TRUE
PF05188,m4,98,TRUE
PF05188,m4,100,TRUE
PF05188,m4,86,TRUE
PF05188,m4,74,TRUE
PF05188,m2,100,TRUE
PF05188,m2,65,TRUE
PF05188,m2,100,TRUE
PF05188,m2,90,TRUE
PF05188,m2,92,TRUE
PF05188,m2,95,TRUE
PF05188,m2,98,TRUE
PF05188,m2,100,TRUE
PF05188,m2,83,TRUE
PF05188,m2,100,TRUE
PF05188,m2,97,TRUE
PF05188,m2,89,TRUE
PF05188,m2,88,FALSE
PF05188,m2,84,TRUE
PF05188,m2,44,FALSE
PF05188,m2,74,TRUE
PF05188,m2,57,FALSE
PF05188,m2,100,TRUE
PF05188,m2,60,FALSE
PF05188,m2,56,FALSE
PF05188,m2,98,TRUE
PF05188,m2,100,TRUE
PF05188,m2,56,FALSE
PF05188,m2,25,FALSE
PF05188,m2,49,FALSE
PF05188,m2,44,FALSE
PF05188,m2,33,FALSE
PF05188,m2,45,FALSE
PF05188,m2,95,TRUE
PF05188,m2,46,FALSE
PF05188,m2,65,TRUE
PF05188,m2,88,FALSE
PF05188,m2,95,TRUE
PF05188,m2,98,TRUE
PF05188,m2,99,TRUE
PF05188,m2,99,TRUE
PF05188,m2,100,TRUE
PF05188,m2,66,TRUE
PF05188,m2,90,TRUE
PF05188,m2,83,FALSE
PF05188,m3,96,TRUE
PF05188,m3,100,TRUE
PF05188,m3,88,TRUE
PF05188,m3,90,TRUE
PF05188,m3,98,TRUE
PF05188,m3,100,TRUE
PF05188,m3,100,TRUE
PF05188,m3,80,TRUE
PF05188,m3,100,TRUE
PF05188,m3,93,TRUE
PF05188,m3,75,TRUE
PF05188,m3,78,FALSE
PF05188,m3,78,TRUE
PF05188,m3,46,FALSE
PF05188,m3,72,TRUE
PF05188,m3,52,FALSE
PF05188,m3,61,FALSE
PF05188,m3,37,FALSE
PF05188,m3,100,TRUE
PF05188,m3,64,FALSE
PF05188,m3,55,FALSE
PF05188,m3,97,TRUE
PF05188,m3,100,TRUE
PF05188,m3,63,FALSE
PF05188,m3,58,FALSE
PF05188,m3,35,FALSE
PF05188,m3,48,FALSE
PF05188,m3,99,TRUE
PF05188,m3,34,FALSE
PF05188,m3,46,TRUE
PF05188,m3,86,FALSE
PF05188,m3,95,TRUE
PF05188,m3,98,TRUE
PF05188,m3,97,TRUE
PF05188,m3,94,TRUE
PF05188,m3,99,TRUE
PF05188,m3,73,TRUE
PF05188,m3,81,TRUE
PF05188,m3,52,FALSE
PF05188,m3,79,FALSE
PF05188,m1,100,TRUE
PF05188,m1,61,TRUE
PF05188,m1,81,TRUE
PF05188,m1,100,TRUE
PF05188,m1,74,TRUE
PF05188,m1,89,TRUE
PF05188,m1,93,TRUE
PF05188,m1,98,TRUE
PF05188,m1,66,TRUE
PF05188,m1,99,TRUE
PF05188,m1,84,TRUE
PF05188,m1,93,TRUE
PF05188,m1,65,TRUE
PF05188,m1,30,TRUE
PF05188,m1,100,TRUE
PF05188,m1,63,TRUE
PF05188,m1,49,TRUE
PF05188,m1,88,TRUE
PF05188,m1,99,TRUE
PF05188,m1,100,TRUE
PF05188,m1,69,TRUE
PF05188,m1,100,TRUE
PF05188,m1,81,TRUE
PF05188,m1,51,TRUE
PF05188,m1,35,TRUE
PF05188,m1,48,TRUE
PF05188,m1,77,TRUE
PF05188,m1,38,TRUE
PF05188,m1,54,TRUE
PF05188,m1,97,TRUE
PF05188,m1,96,TRUE
PF05188,m1,43,TRUE
PF05188,m1,97,TRUE
PF05188,m1,57,TRUE
PF05188,m1,60,TRUE
PF05188,m1,97,TRUE
PF05188,m1,70,TRUE
PF05188,m1,100,TRUE
PF05188,m1,46,TRUE
PF05188,m1,87,TRUE
PF05188,GTR20,100,TRUE
PF05188,GTR20,83,TRUE
PF05188,GTR20,100,TRUE
PF05188,GTR20,75,TRUE
PF05188,GTR20,94,TRUE
PF05188,GTR20,95,TRUE
PF05188,GTR20,98,TRUE
PF05188,GTR20,27,FALSE
PF05188,GTR20,100,TRUE
PF05188,GTR20,97,TRUE
PF05188,GTR20,97,TRUE
PF05188,GTR20,90,TRUE
PF05188,GTR20,68,TRUE
PF05188,GTR20,100,TRUE
PF05188,GTR20,80,TRUE
PF05188,GTR20,45,FALSE
PF05188,GTR20,29,FALSE
PF05188,GTR20,57,FALSE
PF05188,GTR20,41,FALSE
PF05188,GTR20,100,TRUE
PF05188,GTR20,55,FALSE
PF05188,GTR20,49,FALSE
PF05188,GTR20,99,TRUE
PF05188,GTR20,100,TRUE
PF05188,GTR20,58,FALSE
PF05188,GTR20,52,FALSE
PF05188,GTR20,27,FALSE
PF05188,GTR20,40,FALSE
PF05188,GTR20,81,TRUE
PF05188,GTR20,57,FALSE
PF05188,GTR20,81,TRUE
PF05188,GTR20,95,TRUE
PF05188,GTR20,93,TRUE
PF05188,GTR20,96,TRUE
PF05188,GTR20,99,TRUE
PF05188,GTR20,99,TRUE
PF05188,GTR20,100,TRUE
PF05188,GTR20,81,TRUE
PF05188,GTR20,91,TRUE
PF05188,GTR20,83,FALSE
PF07732,poisson,82,FALSE
PF07732,poisson,90,TRUE
PF07732,poisson,52,FALSE
PF07732,poisson,97,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,98,FALSE
PF07732,poisson,98,TRUE
PF07732,poisson,95,TRUE
PF07732,poisson,54,FALSE
PF07732,poisson,71,TRUE
PF07732,poisson,99,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,70,FALSE
PF07732,poisson,60,FALSE
PF07732,poisson,70,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,99,TRUE
PF07732,poisson,70,TRUE
PF07732,poisson,91,TRUE
PF07732,poisson,98,TRUE
PF07732,poisson,82,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,94,FALSE
PF07732,poisson,89,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,97,FALSE
PF07732,poisson,91,FALSE
PF07732,poisson,93,FALSE
PF07732,poisson,90,TRUE
PF07732,poisson,96,TRUE
PF07732,poisson,42,FALSE
PF07732,poisson,75,FALSE
PF07732,poisson,29,FALSE
PF07732,poisson,91,TRUE
PF07732,poisson,77,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,98,TRUE
PF07732,poisson,96,TRUE
PF07732,poisson,84,FALSE
PF07732,poisson,90,TRUE
PF07732,poisson,72,FALSE
PF07732,poisson,68,TRUE
PF07732,poisson,93,TRUE
PF07732,poisson,91,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,96,TRUE
PF07732,poisson,63,TRUE
PF07732,poisson,91,FALSE
PF07732,poisson,63,TRUE
PF07732,poisson,61,TRUE
PF07732,poisson,61,TRUE
PF07732,poisson,62,TRUE
PF07732,poisson,90,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,34,TRUE
PF07732,poisson,26,FALSE
PF07732,poisson,83,FALSE
PF07732,poisson,50,TRUE
PF07732,poisson,88,TRUE
PF07732,poisson,90,TRUE
PF07732,poisson,44,FALSE
PF07732,poisson,48,FALSE
PF07732,poisson,52,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,95,FALSE
PF07732,poisson,87,FALSE
PF07732,poisson,87,TRUE
PF07732,poisson,67,FALSE
PF07732,poisson,100,FALSE
PF07732,poisson,86,TRUE
PF07732,poisson,58,FALSE
PF07732,poisson,67,TRUE
PF07732,poisson,69,FALSE
PF07732,poisson,99,TRUE
PF07732,poisson,96,TRUE
PF07732,poisson,99,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,70,FALSE
PF07732,poisson,71,FALSE
PF07732,poisson,72,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,47,FALSE
PF07732,poisson,61,FALSE
PF07732,poisson,72,FALSE
PF07732,poisson,99,TRUE
PF07732,poisson,99,TRUE
PF07732,poisson,85,FALSE
PF07732,poisson,96,FALSE
PF07732,poisson,98,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,91,TRUE
PF07732,poisson,74,FALSE
PF07732,poisson,73,FALSE
PF07732,poisson,72,FALSE
PF07732,poisson,60,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,98,TRUE
PF07732,poisson,97,FALSE
PF07732,poisson,99,TRUE
PF07732,poisson,93,FALSE
PF07732,poisson,92,FALSE
PF07732,poisson,91,FALSE
PF07732,poisson,83,FALSE
PF07732,poisson,70,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,93,TRUE
PF07732,poisson,83,FALSE
PF07732,poisson,59,FALSE
PF07732,poisson,53,FALSE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,99,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,60,FALSE
PF07732,poisson,73,TRUE
PF07732,poisson,75,FALSE
PF07732,poisson,99,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,97,TRUE
PF07732,poisson,100,TRUE
PF07732,poisson,92,FALSE
PF07732,poisson,100,TRUE
PF07732,m1,62,TRUE
PF07732,m1,67,TRUE
PF07732,m1,99,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,52,TRUE
PF07732,m1,100,TRUE
PF07732,m1,99,TRUE
PF07732,m1,94,TRUE
PF07732,m1,44,TRUE
PF07732,m1,96,TRUE
PF07732,m1,100,TRUE
PF07732,m1,45,TRUE
PF07732,m1,100,TRUE
PF07732,m1,94,TRUE
PF07732,m1,44,TRUE
PF07732,m1,99,TRUE
PF07732,m1,27,TRUE
PF07732,m1,100,TRUE
PF07732,m1,92,TRUE
PF07732,m1,99,TRUE
PF07732,m1,98,TRUE
PF07732,m1,96,TRUE
PF07732,m1,99,TRUE
PF07732,m1,71,TRUE
PF07732,m1,52,TRUE
PF07732,m1,53,TRUE
PF07732,m1,48,TRUE
PF07732,m1,45,TRUE
PF07732,m1,80,TRUE
PF07732,m1,82,TRUE
PF07732,m1,91,TRUE
PF07732,m1,50,TRUE
PF07732,m1,75,TRUE
PF07732,m1,100,TRUE
PF07732,m1,96,TRUE
PF07732,m1,99,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,93,TRUE
PF07732,m1,92,TRUE
PF07732,m1,99,TRUE
PF07732,m1,95,TRUE
PF07732,m1,91,TRUE
PF07732,m1,91,TRUE
PF07732,m1,91,TRUE
PF07732,m1,84,TRUE
PF07732,m1,79,TRUE
PF07732,m1,48,TRUE
PF07732,m1,88,TRUE
PF07732,m1,75,TRUE
PF07732,m1,94,TRUE
PF07732,m1,87,TRUE
PF07732,m1,81,TRUE
PF07732,m1,92,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,72,TRUE
PF07732,m1,65,TRUE
PF07732,m1,65,TRUE
PF07732,m1,72,TRUE
PF07732,m1,94,TRUE
PF07732,m1,86,TRUE
PF07732,m1,96,TRUE
PF07732,m1,95,TRUE
PF07732,m1,95,TRUE
PF07732,m1,99,TRUE
PF07732,m1,65,TRUE
PF07732,m1,62,TRUE
PF07732,m1,66,TRUE
PF07732,m1,65,TRUE
PF07732,m1,96,TRUE
PF07732,m1,66,TRUE
PF07732,m1,100,TRUE
PF07732,m1,98,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,98,TRUE
PF07732,m1,97,TRUE
PF07732,m1,63,TRUE
PF07732,m1,64,TRUE
PF07732,m1,93,TRUE
PF07732,m1,57,TRUE
PF07732,m1,57,TRUE
PF07732,m1,52,TRUE
PF07732,m1,100,TRUE
PF07732,m1,49,TRUE
PF07732,m1,97,TRUE
PF07732,m1,100,TRUE
PF07732,m1,39,TRUE
PF07732,m1,44,TRUE
PF07732,m1,83,TRUE
PF07732,m1,87,TRUE
PF07732,m1,90,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,90,TRUE
PF07732,m1,48,TRUE
PF07732,m1,56,TRUE
PF07732,m1,99,TRUE
PF07732,m1,99,TRUE
PF07732,m1,84,TRUE
PF07732,m1,96,TRUE
PF07732,m1,88,TRUE
PF07732,m1,88,TRUE
PF07732,m1,88,TRUE
PF07732,m1,91,TRUE
PF07732,m1,95,TRUE
PF07732,m1,99,TRUE
PF07732,m1,94,TRUE
PF07732,m1,94,TRUE
PF07732,m1,100,TRUE
PF07732,m1,99,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,100,TRUE
PF07732,m1,96,TRUE
PF07732,m1,86,TRUE
PF07732,m1,91,TRUE
PF07732,m1,83,TRUE
PF07732,m1,90,TRUE
PF07732,m1,99,TRUE
PF07732,m1,100,TRUE
PF07732,m1,99,TRUE
PF07732,m1,100,TRUE
PF07732,m1,86,TRUE
PF07732,GTR20,100,FALSE
PF07732,GTR20,98,TRUE
PF07732,GTR20,93,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,98,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,97,FALSE
PF07732,GTR20,98,TRUE
PF07732,GTR20,95,TRUE
PF07732,GTR20,62,FALSE
PF07732,GTR20,96,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,97,FALSE
PF07732,GTR20,97,TRUE
PF07732,GTR20,96,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,92,FALSE
PF07732,GTR20,100,TRUE
PF07732,GTR20,97,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,99,TRUE
PF07732,GTR20,99,TRUE
PF07732,GTR20,74,FALSE
PF07732,GTR20,88,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,85,FALSE
PF07732,GTR20,67,FALSE
PF07732,GTR20,73,FALSE
PF07732,GTR20,95,TRUE
PF07732,GTR20,99,TRUE
PF07732,GTR20,73,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,92,FALSE
PF07732,GTR20,100,TRUE
PF07732,GTR20,93,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,97,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,99,TRUE
PF07732,GTR20,95,TRUE
PF07732,GTR20,92,TRUE
PF07732,GTR20,93,TRUE
PF07732,GTR20,96,TRUE
PF07732,GTR20,93,TRUE
PF07732,GTR20,92,TRUE
PF07732,GTR20,86,TRUE
PF07732,GTR20,44,FALSE
PF07732,GTR20,43,FALSE
PF07732,GTR20,96,TRUE
PF07732,GTR20,61,TRUE
PF07732,GTR20,100,TRUE
PF07732,GTR20,56,FALSE
PF07732,GTR20,32,FALSE
PF07732,GTR20,31,FALSE
PF07732,GTR20,99,TRUE
PF07732,GTR20,95,FALSE
PF07732,GTR20,38,TRUE
PF07732,GTR20,41,TRUE
PF07732,GTR20,94,TRUE
PF07732,GTR20,94,FALSE
PF07732,GTR20,100,TRUE
