name,bic,model_name,modelm
PF01225,68877.274,mtMAM+I,5
PF01554,48052.8,LG+F+G4,1
PF01554,48681.105,PMB+G4,2
PF01554,49161.292,Dayhoff+F+I,3
PF01554,49851.055,Dayhoff+G4,4
PF01554,52730.549,HIVw+I,5
PF00275,49802.775,LG+I+G4,1
PF00275,51011.84,PMB+I,2
PF00275,51585.732,rtREV,3
PF00275,53262.666,FLU+F+I,4
PF00275,57774.877,mtMAM,5
PF01478,48027.983,VT+F+I+G4,1
PF01478,48883.024,PMB+I+G4,2
PF01478,49569.906,mtART+G4,3
PF01478,50250.969,DCMut+G4,4
PF01478,54172.681,HIVw,5
PF00355,57038.751,WAG+I+G4,1
PF00355,57861.943,JTT+F+I+G4,2
PF00355,58774.851,Dayhoff+F,3
PF00355,60823.529,HIVw+F+I+G4,4
PF00355,65894.379,mtMAM,5
PF07993,92569.42,LG+I+G4,1
PF07993,94402.338,Dayhoff+F+G4,2
PF07993,96008.102,rtREV+F+I,3
PF07993,98698.221,mtVer+G4,4
PF07993,106868.137,mtMAM,5
PF00149,277254.327,Blosum62+F+G4,1
PF00149,282402.534,mtZOA+F+G4,2
PF00149,286856.537,rtREV+F,3
PF00149,292831.772,mtMet+F+I,4
PF00149,309941.001,mtMAM+I,5
PF00520,221268.33,VT+F+G4,1
PF00520,225316.97,mtMet+F+G4,2
PF00520,229388.301,WAG,3
PF00520,233890.754,mtVer+G4,4
PF00520,250248.52,mtMAM+I,5
PF01699,66489.287,LG+F+G4,1
PF01699,67526.111,JTT+I+G4,2
PF01699,68360.109,VT+I,3
PF01699,69766.194,mtVer+I+G4,4
PF01699,73495.208,HIVw+I,5
PF02801,74729.239,LG+I+G4,1
PF02801,76538.949,Dayhoff+F+I+G4,2
PF02801,78153.682,rtREV+F+I,3
PF02801,80784.143,FLU+F,4
PF02801,88440.878,mtMAM,5
PF01541,49099.025,VT+F+I+G4,1
PF01541,50089.721,VT+F+I,2
PF01541,50840.242,HIVb+F+I+G4,3
PF01541,52106.961,mtMet+G4,4
PF01541,55986.118,mtMAM,5
PF06480,57984.743,LG+F+G4,1
PF06480,58913.656,mtZOA+F+G4,2
PF06480,59958.381,LG+I,3
PF06480,61056.619,mtInv+I+G4,4
PF06480,65814.916,mtMAM,5
PF00581,23709.983,VT+G4,1
PF00581,24028.204,Dayhoff+F+G4,2
PF00581,24363.441,HIVb+G4,3
PF00581,24857.724,HIVb+I,4
PF00581,26208.133,mtMAM+I,5
PF00680,65257.566,LG+I+G4,1
PF00680,66367.157,Dayhoff+F+G4,2
PF00680,67420.55,JTTDCMut+I,3
PF00680,69238.635,HIVb+F+I,4
PF00680,74093.396,mtMAM,5
PF01583,9517.286,LG+G4,1
PF01583,9800.243,JTTDCMut+F+I+G4,2
PF01583,9982.522,FLU+I+G4,3
PF01583,10383.918,mtZOA+F+I,4
PF01583,11459.829,mtMAM,5
PF00152,113516.837,LG+I+G4,1
PF00152,115974.286,DCMut+F+G4,2
PF00152,118900.361,cpREV+I,3
PF00152,121491.487,HIVw+F+I+G4,4
PF00152,131393.328,mtMAM,5
PF00117,86202.046,LG+I+G4,1
PF00117,88210.965,DCMut+I+G4,2
PF00117,89691.289,mtART+F+I+G4,3
PF00117,92305.229,mtInv+I+G4,4
PF00117,100326.943,mtMAM,5
PF00874,85621.937,LG+F+G4,1
PF00874,86977.933,mtREV+F+G4,2
PF00874,88065.437,Dayhoff+G4,3
PF00874,89728.038,mtART+F+I,4
PF00874,94577.37,mtMAM+I,5
PF04408,48491.083,LG+G4,1
PF04408,49385.05,Dayhoff+F+I+G4,2
PF04408,50073.086,PMB+F,3
PF04408,51331.696,mtMet+I+G4,4
PF04408,55192.14,mtMAM+I,5
PF00487,84918.192,LG+F+I+G4,1
PF00487,86197.385,Dayhoff+F+I+G4,2
PF00487,87585.92,DCMut+G4,3
PF00487,88857.457,mtREV+F+I,4
PF00487,95679.838,HIVw,5
PF01850,84738.862,Blosum62+F+G4,1
PF01850,86324.478,mtREV+F+G4,2
PF01850,87644.575,cpREV+I,3
PF01850,89989.417,mtMet+F+I,4
PF01850,96005.805,mtMAM+I,5
PF05000,34198.703,LG+G4,1
PF05000,34789.983,DCMut+F+G4,2
PF05000,35577.094,PMB,3
PF05000,36293.361,DCMut,4
PF05000,39043.91,mtMAM,5
PF03144,66186.841,LG+G4,1
PF03144,67345.954,rtREV,2
PF03144,68730.459,Dayhoff,3
PF03144,70650.144,mtMAM+F+I+G4,4
PF03144,76129.77,mtMAM+I,5
PF02789,51968.097,LG+F+G4,1
PF02789,52489.062,VT+F,2
PF02789,52915.869,JTT,3
PF02789,54163.67,mtZOA+I+G4,4
PF02789,57404.731,mtMAM+I,5
PF03358,16175.349,VT+I+G4,1
PF03358,16323.951,rtREV+I+G4,2
PF03358,16496.852,Dayhoff+I,3
PF03358,16891.28,mtZOA+F,4
PF03358,17920.254,mtMAM,5
PF01397,48348.335,JTT+F+G4,1
PF01397,49135.882,Blosum62+G4,2
PF01397,49545.922,LG+I,3
PF01397,50350.603,mtART+F+I+G4,4
PF01397,54318.91,mtART+I,5
PF01627,88319.458,LG+F+G4,1
PF01627,89969.825,JTT+G4,2
PF01627,91177.18,LG+I,3
PF01627,93143.465,HIVb+F+I,4
PF01627,100691.799,mtMAM+I,5
PF02866,17706.135,LG+I+G4,1
PF02866,18050.773,JTTDCMut+F+G4,2
PF02866,18324.585,LG+F,3
PF02866,18893.705,HIVw+F+I+G4,4
PF02866,20448.903,mtMAM,5
PF06968,19555.184,LG+I+G4,1
PF06968,20031.562,DCMut+I+G4,2
PF06968,20295.598,rtREV+F,3
PF06968,20824.847,mtART+I+G4,4
PF06968,22452.257,mtMAM,5
PF03140,38734.141,JTT+F+I+G4,1
PF03140,39121.576,PMB+G4,2
PF03140,39880.948,WAG+F,3
PF03140,40667.188,FLU+F,4
PF03140,44407.074,mtART,5
PF00156,62811.089,LG+G4,1
PF00156,63955.08,VT,2
PF00156,64938.74,JTTDCMut+I,3
PF00156,66849.945,mtMet+F+I,4
PF00156,72298.049,mtMAM+I,5
PF07702,96222.112,LG+F+G4,1
PF07702,97905.432,VT+F,2
PF07702,98987.711,rtREV+I,3
PF07702,101697.119,mtZOA+F+I,4
PF07702,109731.609,mtMAM+I,5
PF00990,31330.381,LG+G4,1
PF00990,31907.547,mtMet+F+I+G4,2
PF00990,32624.154,WAG+I,3
PF00990,33378.525,Dayhoff+I,4
PF00990,35558.955,mtMAM,5
PF02674,14418.665,LG+F+G4,1
PF02674,14552.043,PMB+F,2
PF02674,14666.666,Dayhoff+F+I,3
PF02674,14860.326,mtREV+I+G4,4
PF02674,15627.738,HIVw,5
PF01547,231455.583,PMB+F+G4,1
PF01547,234022.169,LG+G4,2
PF01547,235714.29,mtInv+F,3
PF01547,238861.722,HIVb+I+G4,4
PF01547,250130.14,mtInv+I,5
PF02588,41565.519,LG+F+G4,1
PF02588,42250.643,PMB+F,2
PF02588,42690.312,mtVer+F+G4,3
PF02588,43289.666,mtART+I,4
PF02588,46052.436,HIVw+I,5
PF02769,95292.135,LG+G4,1
PF02769,97409.654,DCMut+F+I+G4,2
PF02769,98770.715,HIVb+F+I+G4,3
PF02769,101963.708,HIVb+F+I,4
PF02769,110739.092,mtMAM+I,5
PF00169,77457.131,rtREV+F+G4,1
PF00169,78384.294,mtZOA+F+G4,2
PF00169,79020.883,cpREV+F,3
PF00169,80229.133,HIVw+F+I+G4,4
PF00169,84073.35,mtMAM+I,5
PF02086,29369.311,VT+I+G4,1
PF02086,29724.49,Dayhoff+F+I+G4,2
PF02086,30050.398,DCMut+F+I,3
PF02086,30691.183,FLU,4
PF02086,32588.849,mtMAM,5
PF04203,11095.765,WAG+I+G4,1
PF04203,11263.543,Dayhoff+F+I+G4,2
PF04203,11405.096,LG+F,3
PF04203,11767.057,HIVb,4
PF04203,12699.61,mtMAM,5
PF00111,51107.014,VT+I+G4,1
PF00111,51925.151,PMB+F+I,2
PF00111,52954.657,cpREV,3
PF00111,54751.955,mtREV+I+G4,4
PF00111,59852.171,mtART,5
PF06114,43287.614,VT+G4,1
PF06114,44011.074,mtREV+F+G4,2
PF06114,44502.792,LG,3
PF06114,45447.027,HIVb+F+I,4
PF06114,48127.182,mtMAM+I,5
PF04965,7801.402,LG+G4,1
PF04965,7976.172,JTT+F+G4,2
PF04965,8091.089,rtREV+F,3
PF04965,8345.002,mtREV+F,4
PF04965,9053.4,mtMAM,5
PF07681,43969.158,VT+F+G4,1
PF07681,44810.063,cpREV+F,2
PF07681,45430.849,mtREV+F,3
PF07681,46149.042,rtREV+I,4
PF07681,49925.785,HIVw+I,5
PF00135,244368.594,VT+I+G4,1
PF00135,248304.959,DCMut+I+G4,2
PF00135,254163.095,cpREV+F,3
PF00135,258483.617,mtVer+I+G4,4
PF00135,277563.79,mtMAM,5
PF04452,86588.472,LG+I+G4,1
PF04452,88167.804,DCMut+I+G4,2
PF04452,90137.434,LG+F+I,3
PF04452,92377.803,mtVer+I+G4,4
PF04452,99546.952,mtMAM,5
PF02142,45087.223,LG+I+G4,1
PF02142,46321.323,Dayhoff+F+I+G4,2
PF02142,47292.613,HIVb+I+G4,3
PF02142,48895.218,HIVw+F+I+G4,4
PF02142,54103.425,mtMAM,5
PF07724,58565.836,LG+G4,1
PF07724,59784.042,Dayhoff+F+I+G4,2
PF07724,62190.696,WAG+F+I,3
PF07724,63435.632,HIVw+G4,4
PF07724,70034.134,mtMAM,5
PF04307,9979.487,mtInv+F+I+G4,1
PF04307,10098.264,FLU+F+G4,2
PF04307,10222.252,DCMut+F+I,3
PF04307,10355.854,DCMut+F,4
PF04307,11105.289,HIVw,5
PF02984,61511.22,LG+F+G4,1
