name,tree,repl,bic,model_name,modelm
HA,opisthokonta,1,113426.592,mtREV+F+G4,3
HA,opisthokonta,1,116260.179,mtMAM+F+G4,4
HA,opisthokonta,1,129861.94,mtART,5
HA,opisthokonta,2,109701.626,JTT+F+G4,1
HA,opisthokonta,2,112779.342,PMB+G4,2
HA,opisthokonta,2,114541.233,rtREV+F+I+G4,3
HA,opisthokonta,2,117142.35,mtMet+F+I,4
HA,opisthokonta,2,131155.616,mtART+I,5
HA,opisthokonta,3,110972.551,JTT+F+G4,1
HA,opisthokonta,3,113698.142,FLU+F+G4,2
HA,opisthokonta,3,115435.878,cpREV+F,3
HA,opisthokonta,3,118121.65,mtVer+I+G4,4
HA,opisthokonta,3,131778.489,mtART,5
HA,opisthokonta,4,110371.829,JTT+F+G4,1
HA,opisthokonta,4,113356.999,JTTDCMut,2
HA,opisthokonta,4,115022.723,rtREV+F+G4,3
HA,opisthokonta,4,118079.541,mtVer+G4,4
HA,opisthokonta,4,132446.403,mtART,5
HA,opisthokonta,5,109563.47,JTT+G4,1
HA,opisthokonta,5,112237.625,PMB+F+G4,2
HA,opisthokonta,5,114466.173,rtREV+F+I+G4,3
HA,opisthokonta,5,117019.524,mtVer+I+G4,4
HA,opisthokonta,5,129851.278,mtART+I,5
HA,opisthokonta,6,109929.635,JTT+F+G4,1
HA,opisthokonta,6,113048.526,mtMet+F+G4,2
HA,opisthokonta,6,115610.459,PMB+F,3
HA,opisthokonta,6,117692.398,FLU,4
HA,opisthokonta,6,131912.077,mtART,5
HA,opisthokonta,7,108107.717,JTT+F+G4,1
HA,opisthokonta,7,110850.382,HIVw+F+G4,2
HA,opisthokonta,7,112748.208,cpREV,3
HA,opisthokonta,7,115344.627,mtMet+G4,4
HA,opisthokonta,7,128749.875,mtART,5
HA,opisthokonta,8,108508.839,JTT+F+G4,1
HA,opisthokonta,8,111386.333,mtInv+F+G4,2
HA,opisthokonta,8,113395.915,Dayhoff+F+I,3
HA,opisthokonta,8,115666.33,mtVer+I+G4,4
HA,opisthokonta,8,128847.235,mtART,5
HA,opisthokonta,9,110051.486,JTT+F+G4,1
HA,opisthokonta,9,112756.638,JTTDCMut+I,2
HA,opisthokonta,9,114714.932,cpREV+I,3
HA,opisthokonta,9,117549.272,mtMet+F,4
HA,opisthokonta,9,130667.697,mtART+I,5
HA,opisthokonta,10,110010.685,JTT+F+I+G4,1
HA,opisthokonta,10,113274.632,mtInv+F+I+G4,2
HA,opisthokonta,10,115390.268,HIVw+F+I,3
HA,opisthokonta,10,117482.464,FLU,4
HA,opisthokonta,10,131862.577,mtART,5
HA,opisthokonta,11,110500.269,JTT+F+G4,1
HA,opisthokonta,11,113467.051,HIVw+F+G4,2
HA,opisthokonta,11,115481.468,cpREV,3
HA,opisthokonta,11,118261.543,rtREV+F,4
HA,opisthokonta,11,132458.809,mtART,5
HA,opisthokonta,12,111700.377,JTT+F+G4,1
HA,opisthokonta,12,114401.09,PMB+F+G4,2
HA,opisthokonta,12,116752.461,PMB+I,3
HA,opisthokonta,12,119503.95,mtMet+F,4
HA,opisthokonta,12,133960.097,mtART,5
HA,opisthokonta,13,108552.432,JTT+F+G4,1
HA,opisthokonta,13,111404.278,JTTDCMut+I,2
HA,opisthokonta,13,113428.639,PMB+I,3
HA,opisthokonta,13,115895.879,mtVer+I+G4,4
HA,opisthokonta,13,128796.859,mtART,5
HA,opisthokonta,14,110962.05,JTT+F+I+G4,1
HA,opisthokonta,14,113738.255,JTTDCMut+I,2
HA,opisthokonta,14,115980.561,PMB+I,3
HA,opisthokonta,14,118627.553,mtVer+I+G4,4
HA,opisthokonta,14,132203.112,mtART,5
HA,opisthokonta,15,110490.01,JTT+F+G4,1
HA,opisthokonta,15,113086.371,JTTDCMut,2
HA,opisthokonta,15,115063.215,cpREV+F,3
HA,opisthokonta,15,118009.103,mtMet+F,4
HA,opisthokonta,15,131159.774,mtART,5
HA,opisthokonta,16,109783.757,JTT+F+G4,1
HA,opisthokonta,16,112643.185,Blosum62+F+G4,2
HA,opisthokonta,16,114297.227,PMB,3
HA,opisthokonta,16,117258.508,mtMet+G4,4
HA,opisthokonta,16,130687.175,mtART,5
HA,opisthokonta,17,110375.99,JTT+F+G4,1
HA,opisthokonta,17,113432.845,PMB+G4,2
HA,opisthokonta,17,115304.952,HIVw+G4,3
HA,opisthokonta,17,117720.461,mtVer+F,4
HA,opisthokonta,17,131453.999,mtART,5
HA,opisthokonta,18,110366.774,JTT+F+G4,1
HA,opisthokonta,18,113368.034,JTTDCMut+I,2
HA,opisthokonta,18,115529.98,cpREV+I,3
HA,opisthokonta,18,118138.672,mtMet+F,4
HA,opisthokonta,18,131520.303,mtART,5
HA,opisthokonta,19,111856.857,JTT+F+G4,1
HA,opisthokonta,19,114973.158,LG+F+G4,2
HA,opisthokonta,19,116742.06,PMB+F,3
HA,opisthokonta,19,119825.62,mtMAM+F+G4,4
HA,opisthokonta,19,134307.044,mtART,5
HA,opisthokonta,20,111077.961,JTT+F+G4,1
HA,opisthokonta,20,114108.248,JTT+I,2
HA,opisthokonta,20,116191.417,cpREV+F,3
HA,opisthokonta,20,118611.394,mtVer+F,4
HA,opisthokonta,20,132446.236,mtART,5
HA,prum,1,59367.929,HIVb+G4,1
HA,prum,1,60991.871,FLU+G4,2
HA,prum,1,62149.571,Blosum62+G4,3
HA,prum,1,63255.164,Blosum62,4
HA,prum,1,71040.227,mtART,5
HA,prum,2,58896.453,HIVb+G4,1
HA,prum,2,60430.87,FLU+G4,2
HA,prum,2,61417.238,HIVw,3
HA,prum,2,62605.919,mtVer+F,4
HA,prum,2,69787.293,mtART,5
HA,prum,3,60450.297,JTT+G4,1
HA,prum,3,61990.074,FLU+I+G4,2
HA,prum,3,63119.759,Blosum62+F+G4,3
HA,prum,3,64314.283,mtVer+F+I,4
HA,prum,3,72191.998,mtART,5
HA,prum,4,60419.594,HIVb+G4,1
HA,prum,4,61895.211,FLU+G4,2
HA,prum,4,63024.665,cpREV,3
HA,prum,4,64197.813,mtInv+G4,4
HA,prum,4,72092.304,mtART,5
HA,prum,5,58961.273,HIVb+G4,1
HA,prum,5,60718.764,FLU+G4,2
HA,prum,5,61785.794,Blosum62+G4,3
HA,prum,5,62992.045,mtREV+I+G4,4
HA,prum,5,69820.97,mtART,5
HA,prum,6,60101.573,HIVb+G4,1
HA,prum,6,61567.586,cpREV+F+G4,2
HA,prum,6,62688.158,cpREV,3
HA,prum,6,63878.228,Blosum62+F,4
HA,prum,6,70866.547,mtART,5
HA,prum,7,57218.958,JTT+G4,1
HA,prum,7,58822.381,cpREV+F+G4,2
HA,prum,7,59761.078,Blosum62+G4,3
HA,prum,7,60800.539,Blosum62+F,4
HA,prum,7,67995.968,mtART,5
HA,prum,8,56967.808,HIVb+F+G4,1
HA,prum,8,58580.875,FLU+I+G4,2
HA,prum,8,59652.652,Dayhoff+I+G4,3
HA,prum,8,60945.736,mtInv+I+G4,4
HA,prum,8,68727.704,mtART,5
HA,prum,9,58650.599,HIVb+G4,1
HA,prum,9,60551.529,cpREV+F+I+G4,2
HA,prum,9,61540.804,cpREV+F+I,3
HA,prum,9,62891.614,mtVer+F,4
HA,prum,9,71106.994,mtART,5
HA,prum,10,59420.38,HIVb+G4,1
HA,prum,10,61251.625,FLU+F+G4,2
HA,prum,10,62232.933,mtMet+G4,3
HA,prum,10,63231.196,mtVer+F,4
HA,prum,10,70216.872,mtART,5
HA,prum,11,60178.659,HIVb+F+G4,1
HA,prum,11,62067.064,mtMet+F+I+G4,2
HA,prum,11,62953.778,Dayhoff+I+G4,3
HA,prum,11,64298.924,Dayhoff+I,4
HA,prum,11,71934.496,mtART,5
HA,prum,12,57996.371,HIVb+G4,1
HA,prum,12,59637.439,FLU+G4,2
HA,prum,12,60573.151,cpREV+F+I,3
HA,prum,12,61860.817,mtInv+I+G4,4
HA,prum,12,68894.231,mtART,5
HA,prum,13,59899.567,JTT+I+G4,1
HA,prum,13,61453.784,WAG+F+I,2
HA,prum,13,62478.046,cpREV,3
HA,prum,13,63525.883,mtVer+F,4
HA,prum,13,71762.593,mtART,5
HA,prum,14,59144.02,JTT+G4,1
HA,prum,14,60821.918,FLU+G4,2
HA,prum,14,61734.448,cpREV+F,3
HA,prum,14,63043.764,Dayhoff+I,4
HA,prum,14,70126.866,mtART,5
HA,prum,15,61961.431,HIVb+G4,1
HA,prum,15,63706.946,FLU+G4,2
HA,prum,15,64845.463,HIVw,3
HA,prum,15,66103.804,Blosum62+F,4
HA,prum,15,72997.999,mtART,5
HA,prum,16,56389.625,JTT+G4,1
HA,prum,16,57947.704,mtMet+F+G4,2
HA,prum,16,58884.569,cpREV+F,3
HA,prum,16,59876.883,Dayhoff+I,4
HA,prum,16,67357.779,mtART,5
HA,prum,17,60246.701,HIVb+F+G4,1
HA,prum,17,62087.896,mtMet+F+G4,2
HA,prum,17,63145.454,mtREV+F+G4,3
HA,prum,17,64269.095,Blosum62+F,4
HA,prum,17,72043.048,mtART,5
HA,prum,18,56948.156,HIVb+G4,1
HA,prum,18,58599.958,FLU+G4,2
HA,prum,18,59377.277,HIVw,3
HA,prum,18,60477.79,DCMut,4
HA,prum,18,67098.506,mtART,5
HA,prum,19,61015.792,JTT+G4,1
HA,prum,19,62534.262,WAG+F+I,2
HA,prum,19,63430.147,Dayhoff+I+G4,3
HA,prum,19,64567.845,Dayhoff,4
HA,prum,19,72071.737,mtART,5
HA,prum,20,61275.881,JTT+G4,1
HA,prum,20,62796.533,WAG+F+I,2
HA,prum,20,63825.306,mtREV+F+I+G4,3
HA,prum,20,64785.717,mtInv+I+G4,4
HA,prum,20,72354.609,mtART,5
HA,ruhfel,1,172982.556,JTT+G4,1
HA,ruhfel,1,178241.134,WAG+I,2
HA,ruhfel,1,181012.67,FLU+F+I,3
HA,ruhfel,1,184178.985,mtVer+F,4
HA,ruhfel,1,206895.762,mtART,5
HA,ruhfel,2,173637.293,JTT+F+G4,1
HA,ruhfel,2,178824.595,DCMut+F+G4,2
HA,ruhfel,2,181831.851,FLU+F,3
HA,ruhfel,2,185880.688,mtVer+G4,4
HA,ruhfel,2,207644.797,mtART,5
HA,ruhfel,3,171037.948,JTT+F+G4,1
HA,ruhfel,3,176660.557,PMB+F+G4,2
HA,ruhfel,3,178925.684,cpREV,3
HA,ruhfel,3,182653.664,mtVer+G4,4
HA,ruhfel,3,205786.172,mtART,5
HA,ruhfel,4,171013.22,JTT+F+G4,1
HA,ruhfel,4,175919.075,HIVw+G4,2
HA,ruhfel,4,178593.2,cpREV,3
HA,ruhfel,4,182541.833,mtVer+G4,4
HA,ruhfel,4,205288.977,mtART,5
HA,ruhfel,5,170215.59,JTT+F+G4,1
HA,ruhfel,5,174988.073,DCMut+F+G4,2
HA,ruhfel,5,177668.59,cpREV,3
HA,ruhfel,5,181871.033,mtVer+F,4
HA,ruhfel,5,205134.897,mtART,5
HA,ruhfel,6,175213.773,JTT+F+G4,1
HA,ruhfel,6,179919.978,DCMut+F+G4,2
HA,ruhfel,6,182562.196,cpREV,3
HA,ruhfel,6,186800.364,rtREV+F,4
HA,ruhfel,6,207800.547,mtART,5
HA,ruhfel,7,171233.796,JTT+F+G4,1
HA,ruhfel,7,176161.876,DCMut+F+G4,2
HA,ruhfel,7,178905.784,mtREV+F+G4,3
HA,ruhfel,7,182070.542,mtVer+G4,4
HA,ruhfel,7,203306.523,mtART,5
HA,ruhfel,8,171171.978,JTT+G4,1
HA,ruhfel,8,176033.304,PMB+G4,2
HA,ruhfel,8,178686.805,FLU+F,3
HA,ruhfel,8,182716.855,mtInv+G4,4
HA,ruhfel,8,203397.213,mtART,5
HA,ruhfel,9,175844.84,JTT+F+G4,1
HA,ruhfel,9,181738.704,DCMut+F+G4,2
HA,ruhfel,9,183657.737,Blosum62+G4,3
HA,ruhfel,9,186929.992,mtMet+G4,4
HA,ruhfel,9,210591.003,mtART,5
HA,ruhfel,10,176131.869,JTT+F+G4,1
HA,ruhfel,10,181083.197,WAG,2
HA,ruhfel,10,183097.155,cpREV+F,3
HA,ruhfel,10,187802.578,mtVer+G4,4
HA,ruhfel,10,210130.348,mtART,5
HA,ruhfel,11,173180.678,JTT+G4,1
HA,ruhfel,11,178275.442,DCMut+F+G4,2
HA,ruhfel,11,180272.536,cpREV,3
HA,ruhfel,11,183596.143,mtVer+F,4
HA,ruhfel,11,205989.297,mtART,5
HA,ruhfel,12,172252.304,JTT+F+G4,1
HA,ruhfel,12,177339.167,DCMut+F+G4,2
HA,ruhfel,12,179665.361,cpREV,3
HA,ruhfel,12,183370.45,mtVer+I+G4,4
HA,ruhfel,12,205322.662,mtART,5
HA,ruhfel,13,174487.02,JTT+F+G4,1
HA,ruhfel,13,179908.65,VT+F,2
HA,ruhfel,13,182549.442,FLU+F,3
HA,ruhfel,13,186840.503,rtREV+F,4
HA,ruhfel,13,209339.563,mtART,5
HA,ruhfel,14,173174.332,JTT+G4,1
HA,ruhfel,14,178225.943,WAG,2
HA,ruhfel,14,180932.862,PMB,3
HA,ruhfel,14,184516.423,mtVer+G4,4
HA,ruhfel,14,206130.861,mtART,5
HA,ruhfel,15,167763.967,JTT+F+G4,1
HA,ruhfel,15,172656.11,WAG+F,2
HA,ruhfel,15,174916.898,cpREV,3
HA,ruhfel,15,178790.109,DCMut,4
HA,ruhfel,15,199558.851,mtART,5
HA,ruhfel,16,170924.819,JTT+F+G4,1
HA,ruhfel,16,175866.855,DCMut+F+G4,2
HA,ruhfel,16,177948.326,cpREV,3
HA,ruhfel,16,181872.279,mtVer+I+G4,4
HA,ruhfel,16,202833.383,mtART,5
HA,ruhfel,17,173560.264,JTT+F+G4,1
HA,ruhfel,17,178773.657,DCMut+F+G4,2
HA,ruhfel,17,181306.4,cpREV,3
HA,ruhfel,17,185707.555,mtVer+G4,4
HA,ruhfel,17,208690.41,mtART,5
HA,ruhfel,18,174299.082,JTT+F+G4,1
HA,ruhfel,18,179354.981,DCMut+F+G4,2
HA,ruhfel,18,181129.217,cpREV,3
HA,ruhfel,18,185183.819,mtVer+G4,4
HA,ruhfel,18,207313.876,mtART,5
HA,ruhfel,19,173571.434,JTT+G4,1
HA,ruhfel,19,178584.164,WAG,2
HA,ruhfel,19,180756.435,FLU+F,3
HA,ruhfel,19,184447.827,mtVer+G4,4
HA,ruhfel,19,206720.464,mtART,5
HA,ruhfel,20,171110.362,JTT+F+G4,1
HA,ruhfel,20,175984.319,DCMut+F+G4,2
HA,ruhfel,20,178967.805,FLU+F,3
HA,ruhfel,20,182394.758,mtVer+G4,4
HA,ruhfel,20,203270.459,mtART,5
HA,salichos,1,41185.66,JTT+F+I+G4,1
HA,salichos,1,41909.577,WAG+I,2
HA,salichos,1,42447.778,Dayhoff+G4,3
HA,salichos,1,43369.336,mtVer+F,4
HA,salichos,1,47787.968,mtART,5
HA,salichos,2,40558.129,JTT+F+I+G4,1
HA,salichos,2,41288.858,FLU+F+I+G4,2
HA,salichos,2,41791.64,Blosum62+F,3
HA,salichos,2,42921.839,rtREV,4
HA,salichos,2,47312.477,mtART,5
HA,salichos,3,41827.298,JTT+F+G4,1
HA,salichos,3,42536.094,cpREV+I+G4,2
HA,salichos,3,43117.478,Dayhoff+F+I,3
HA,salichos,3,44187.634,mtVer+F,4
HA,salichos,3,48699.827,mtART,5
HA,salichos,4,41417.331,JTT+F+I+G4,1
HA,salichos,4,42228.621,DCMut+F+I+G4,2
HA,salichos,4,42754.584,Dayhoff+I+G4,3
HA,salichos,4,43709.779,rtREV,4
HA,salichos,4,47844.953,mtART,5
HA,salichos,5,41628.635,JTT+F+I+G4,1
HA,salichos,5,42304.915,Dayhoff+F+G4,2
HA,salichos,5,42918.555,FLU+G4,3
HA,salichos,5,43993.669,mtREV+F+I,4
HA,salichos,5,48043.724,mtART,5
HA,salichos,6,41319.357,JTT+F+G4,1
HA,salichos,6,42028.577,Dayhoff+F+G4,2
HA,salichos,6,42567.035,Dayhoff+F+I,3
HA,salichos,6,43541.213,mtREV+F+I,4
HA,salichos,6,47579.393,mtART,5
HA,salichos,7,41800.875,JTT+F+I+G4,1
HA,salichos,7,42633.148,PMB+G4,2
HA,salichos,7,43123.99,mtVer+F+G4,3
HA,salichos,7,44184.77,rtREV+I,4
HA,salichos,7,48782.939,mtART,5
HA,salichos,8,41178.251,JTT+F+G4,1
HA,salichos,8,41964.061,Blosum62+F+G4,2
HA,salichos,8,42502.004,cpREV,3
HA,salichos,8,43402.354,mtVer+F,4
HA,salichos,8,47511.176,mtART,5
HA,salichos,9,40826.423,JTT+F+I+G4,1
HA,salichos,9,41599.051,DCMut+F+G4,2
HA,salichos,9,42103.078,DCMut+I+G4,3
HA,salichos,9,43022.458,mtMAM+F+G4,4
HA,salichos,9,47451.552,mtART,5
HA,salichos,10,41921.502,JTT+F+G4,1
HA,salichos,10,42663.547,cpREV+G4,2
HA,salichos,10,43101.832,Dayhoff+F,3
HA,salichos,10,44040.273,mtZOA+F+G4,4
HA,salichos,10,48553.696,mtART,5
HA,salichos,11,41329.202,JTT+F+G4,1
HA,salichos,11,42081.935,DCMut+F+I+G4,2
HA,salichos,11,42609.093,rtREV+F+I+G4,3
HA,salichos,11,43473.566,mtREV+F,4
HA,salichos,11,47473.607,mtART,5
HA,salichos,12,41018.508,JTT+F+G4,1
HA,salichos,12,41876.995,cpREV+G4,2
HA,salichos,12,42326.457,Dayhoff+F,3
HA,salichos,12,43234.84,mtREV+F,4
HA,salichos,12,47742.337,mtART,5
HA,salichos,13,41451.738,JTT+F+I+G4,1
HA,salichos,13,42223.497,Blosum62+F+I+G4,2
HA,salichos,13,42714.98,Dayhoff+F,3
HA,salichos,13,43704.948,mtREV+F,4
HA,salichos,13,47887.44,mtART,5
HA,salichos,14,42272.859,JTT+F+G4,1
HA,salichos,14,42998.843,cpREV+G4,2
HA,salichos,14,43554.79,rtREV+F+I+G4,3
HA,salichos,14,44588.007,mtVer+F+I,4
HA,salichos,14,48831.162,mtART,5
HA,salichos,15,41614.426,JTT+F+I+G4,1
HA,salichos,15,42414.845,Dayhoff+F+I+G4,2
HA,salichos,15,42950.787,cpREV,3
HA,salichos,15,44039.876,rtREV,4
HA,salichos,15,48190.281,mtART,5
HA,salichos,16,42027.124,JTT+F+G4,1
HA,salichos,16,42757.573,cpREV+G4,2
HA,salichos,16,43308.963,DCMut+F,3
HA,salichos,16,44416.169,mtMAM+F+G4,4
HA,salichos,16,49101.786,mtART,5
HA,salichos,17,41476.804,JTT+F+I+G4,1
HA,salichos,17,42236.629,DCMut+F+G4,2
HA,salichos,17,42838.134,DCMut+G4,3
HA,salichos,17,43771.539,mtMAM+F+G4,4
HA,salichos,17,48158.284,mtART,5
HA,salichos,18,40841.419,JTT+F+I+G4,1
HA,salichos,18,41576.966,Dayhoff+F+I+G4,2
HA,salichos,18,42090.011,DCMut+F+I,3
HA,salichos,18,42925.982,mtREV+F+I,4
HA,salichos,18,46937.687,mtART,5
HA,salichos,19,41154.326,JTT+F+G4,1
HA,salichos,19,41899.698,DCMut+F+G4,2
HA,salichos,19,42393.168,rtREV+F+G4,3
HA,salichos,19,43328.014,rtREV,4
HA,salichos,19,47581.39,mtART,5
HA,salichos,20,41240.082,JTT+F+I+G4,1
HA,salichos,20,41965.109,Dayhoff+F+I+G4,2
HA,salichos,20,42512.911,HIVb,3
HA,salichos,20,43481.375,mtMAM+F+I+G4,4
HA,salichos,20,47673.456,mtART,5
HA,dosreis,1,128131.614,JTT+G4,1
HA,dosreis,1,132044.335,FLU+G4,2
HA,dosreis,1,134547.496,cpREV,3
HA,dosreis,1,137378.414,DCMut+I,4
HA,dosreis,1,154144.139,mtART,5
HA,dosreis,2,131468.745,HIVb+G4,1
HA,dosreis,2,135632.096,DCMut+F+G4,2
HA,dosreis,2,137773.754,cpREV+F,3
HA,dosreis,2,140543.596,mtInv+I+G4,4
HA,dosreis,2,157907.365,mtART,5
HA,dosreis,3,126722.068,JTT+G4,1
HA,dosreis,3,130445.601,FLU+G4,2
HA,dosreis,3,132523.554,cpREV+F,3
HA,dosreis,3,135650.526,mtVer+F,4
HA,dosreis,3,154923.319,mtART,5
HA,dosreis,4,130750.031,HIVb+F+G4,1
HA,dosreis,4,135045.839,mtInv+F+G4,2
HA,dosreis,4,137603.41,cpREV+I,3
HA,dosreis,4,139990.539,DCMut+I,4
HA,dosreis,4,159024.381,mtART,5
HA,dosreis,5,131779.486,JTT+G4,1
HA,dosreis,5,136204.547,FLU+G4,2
HA,dosreis,5,138646.45,cpREV,3
HA,dosreis,5,141815.245,DCMut+I,4
HA,dosreis,5,160059.815,mtART,5
HA,dosreis,6,125734.523,JTT+G4,1
HA,dosreis,6,129411.701,FLU+G4,2
HA,dosreis,6,131539.9,mtREV+F+I+G4,3
HA,dosreis,6,134090.581,Blosum62,4
HA,dosreis,6,150414.446,mtART+I,5
HA,dosreis,7,127581.407,JTT+F+G4,1
HA,dosreis,7,131229.35,HIVw+G4,2
HA,dosreis,7,133374.182,FLU+F,3
HA,dosreis,7,135877.496,Dayhoff,4
HA,dosreis,7,152784.784,mtART,5
HA,dosreis,8,129880.258,JTT+G4,1
HA,dosreis,8,134091.715,FLU+G4,2
HA,dosreis,8,136222.697,mtREV+F+G4,3
HA,dosreis,8,138709.41,DCMut+I,4
HA,dosreis,8,154498.501,mtART,5
HA,dosreis,9,129083.962,JTT+F+G4,1
HA,dosreis,9,133062.912,FLU+G4,2
HA,dosreis,9,134952.279,cpREV,3
HA,dosreis,9,137845.745,DCMut,4
HA,dosreis,9,154658.452,mtART,5
HA,dosreis,10,124746.754,JTT+G4,1
HA,dosreis,10,128405.927,FLU+G4,2
HA,dosreis,10,131105.527,cpREV,3
HA,dosreis,10,133402.986,mtMet+F,4
HA,dosreis,10,150340.356,mtART+I,5
HA,dosreis,11,127944.112,JTT+G4,1
HA,dosreis,11,131685.881,FLU+G4,2
HA,dosreis,11,134456.423,cpREV+F+I,3
HA,dosreis,11,137030.434,mtMet+F,4
HA,dosreis,11,153632.854,mtART,5
HA,dosreis,12,130275.872,JTT+I+G4,1
HA,dosreis,12,134212.902,FLU+G4,2
HA,dosreis,12,136356.911,FLU+F+I,3
HA,dosreis,12,138947.187,mtVer+F,4
HA,dosreis,12,156799.254,mtART,5
HA,dosreis,13,126620.581,JTT+F+G4,1
HA,dosreis,13,130657.156,FLU+G4,2
HA,dosreis,13,132927.668,cpREV+I,3
HA,dosreis,13,135668.51,mtZOA+F+I+G4,4
HA,dosreis,13,152777.042,mtART,5
HA,dosreis,14,132702.963,JTT+G4,1
HA,dosreis,14,136573.768,FLU+G4,2
HA,dosreis,14,138807.602,cpREV+F,3
HA,dosreis,14,141932.593,DCMut,4
HA,dosreis,14,159018.178,mtART,5
